SubmissionDate - Year,YearQtr,YearMonth,Rating,Rating Count,Average of IsPositive
2019,2019 Qtr 2,2019 04,2,3,0%
2019,2019 Qtr 2,2019 04,3,5,0%
2019,2019 Qtr 2,2019 04,4,12,100%
2019,2019 Qtr 2,2019 04,5,51,100%
2019,2019 Qtr 2,2019 05,1,3,0%
2019,2019 Qtr 2,2019 05,2,2,0%
2019,2019 Qtr 2,2019 05,3,1,0%
2019,2019 Qtr 2,2019 05,4,14,100%
2019,2019 Qtr 2,2019 05,5,88,100%
2019,2019 Qtr 2,2019 06,1,5,0%
2019,2019 Qtr 2,2019 06,2,1,0%
2019,2019 Qtr 2,2019 06,3,5,0%
2019,2019 Qtr 2,2019 06,4,9,100%
2019,2019 Qtr 2,2019 06,5,89,100%
2019,2019 Qtr 3,2019 07,1,5,0%
2019,2019 Qtr 3,2019 07,2,8,0%
2019,2019 Qtr 3,2019 07,3,9,0%
2019,2019 Qtr 3,2019 07,4,42,100%
2019,2019 Qtr 3,2019 07,5,231,100%
2019,2019 Qtr 3,2019 08,1,3,0%
2019,2019 Qtr 3,2019 08,2,2,0%
2019,2019 Qtr 3,2019 08,3,2,0%
2019,2019 Qtr 3,2019 08,4,9,100%
2019,2019 Qtr 3,2019 08,5,62,100%
2019,2019 Qtr 3,2019 09,1,2,0%
2019,2019 Qtr 3,2019 09,2,1,0%
2019,2019 Qtr 3,2019 09,3,3,0%
2019,2019 Qtr 3,2019 09,4,13,100%
2019,2019 Qtr 3,2019 09,5,69,100%
2019,2019 Qtr 4,2019 10,1,2,0%
2019,2019 Qtr 4,2019 10,2,1,0%
2019,2019 Qtr 4,2019 10,3,1,0%
2019,2019 Qtr 4,2019 10,4,7,100%
2019,2019 Qtr 4,2019 10,5,49,100%
2019,2019 Qtr 4,2019 11,4,4,100%
2019,2019 Qtr 4,2019 11,5,8,100%
2019,2019 Qtr 4,2019 12,1,2,0%
2019,2019 Qtr 4,2019 12,4,2,100%
2019,2019 Qtr 4,2019 12,5,7,100%
2020,2020 Qtr 1,2020 01,2,1,0%
2020,2020 Qtr 1,2020 01,3,2,0%
2020,2020 Qtr 1,2020 01,4,3,100%
2020,2020 Qtr 1,2020 01,5,13,100%
2020,2020 Qtr 1,2020 02,5,4,100%
2020,2020 Qtr 1,2020 03,3,1,0%
2020,2020 Qtr 1,2020 03,4,1,100%
2020,2020 Qtr 1,2020 03,5,6,100%
2020,2020 Qtr 2,2020 04,2,2,0%
2020,2020 Qtr 2,2020 04,3,4,0%
2020,2020 Qtr 2,2020 04,4,5,100%
2020,2020 Qtr 2,2020 04,5,36,100%
2020,2020 Qtr 2,2020 05,1,3,0%
2020,2020 Qtr 2,2020 05,2,1,0%
2020,2020 Qtr 2,2020 05,3,3,0%
2020,2020 Qtr 2,2020 05,4,13,100%
2020,2020 Qtr 2,2020 05,5,89,100%
2020,2020 Qtr 2,2020 06,1,5,0%
2020,2020 Qtr 2,2020 06,2,7,0%
2020,2020 Qtr 2,2020 06,3,4,0%
2020,2020 Qtr 2,2020 06,4,28,100%
2020,2020 Qtr 2,2020 06,5,168,100%
2020,2020 Qtr 3,2020 07,1,5,0%
2020,2020 Qtr 3,2020 07,2,1,0%
2020,2020 Qtr 3,2020 07,4,13,100%
2020,2020 Qtr 3,2020 07,5,89,100%
2020,2020 Qtr 3,2020 08,1,2,0%
2020,2020 Qtr 3,2020 08,2,4,0%
2020,2020 Qtr 3,2020 08,3,3,0%
2020,2020 Qtr 3,2020 08,4,10,100%
2020,2020 Qtr 3,2020 08,5,42,100%
2020,2020 Qtr 3,2020 09,1,2,0%
2020,2020 Qtr 3,2020 09,3,3,0%
2020,2020 Qtr 3,2020 09,4,5,100%
2020,2020 Qtr 3,2020 09,5,21,100%
2020,2020 Qtr 4,2020 10,3,3,0%
2020,2020 Qtr 4,2020 10,4,2,100%
2020,2020 Qtr 4,2020 10,5,24,100%
2020,2020 Qtr 4,2020 11,4,1,100%
2020,2020 Qtr 4,2020 11,5,5,100%
2020,2020 Qtr 4,2020 12,1,1,0%
2020,2020 Qtr 4,2020 12,5,4,100%
2021,2021 Qtr 1,2021 01,1,1,0%
2021,2021 Qtr 1,2021 01,4,1,100%
2021,2021 Qtr 1,2021 01,5,6,100%
2021,2021 Qtr 1,2021 02,1,1,0%
2021,2021 Qtr 1,2021 02,4,1,100%
2021,2021 Qtr 1,2021 02,5,6,100%
2021,2021 Qtr 1,2021 03,1,1,0%
2021,2021 Qtr 1,2021 03,5,14,100%
2021,2021 Qtr 2,2021 04,1,1,0%
2021,2021 Qtr 2,2021 04,3,1,0%
2021,2021 Qtr 2,2021 04,4,4,100%
2021,2021 Qtr 2,2021 04,5,29,100%
2021,2021 Qtr 2,2021 05,1,3,0%
2021,2021 Qtr 2,2021 05,2,2,0%
2021,2021 Qtr 2,2021 05,4,11,100%
2021,2021 Qtr 2,2021 05,5,67,100%
2021,2021 Qtr 2,2021 06,1,1,0%
2021,2021 Qtr 2,2021 06,2,2,0%
2021,2021 Qtr 2,2021 06,3,1,0%
2021,2021 Qtr 2,2021 06,4,9,100%
2021,2021 Qtr 2,2021 06,5,82,100%
2021,2021 Qtr 3,2021 07,1,2,0%
2021,2021 Qtr 3,2021 07,4,8,100%
2021,2021 Qtr 3,2021 07,5,44,100%
2021,2021 Qtr 3,2021 08,3,1,0%
2021,2021 Qtr 3,2021 08,4,8,100%
2021,2021 Qtr 3,2021 08,5,29,100%
2021,2021 Qtr 3,2021 09,2,1,0%
2021,2021 Qtr 3,2021 09,3,3,0%
2021,2021 Qtr 3,2021 09,4,6,100%
2021,2021 Qtr 3,2021 09,5,41,100%
2021,2021 Qtr 4,2021 10,1,3,0%
2021,2021 Qtr 4,2021 10,3,1,0%
2021,2021 Qtr 4,2021 10,4,8,100%
2021,2021 Qtr 4,2021 10,5,70,100%
2021,2021 Qtr 4,2021 11,3,1,0%
2021,2021 Qtr 4,2021 11,4,4,100%
2021,2021 Qtr 4,2021 11,5,38,100%
2021,2021 Qtr 4,2021 12,3,1,0%
2021,2021 Qtr 4,2021 12,5,10,100%
2022,2022 Qtr 1,2022 01,2,2,0%
2022,2022 Qtr 1,2022 01,4,2,100%
2022,2022 Qtr 1,2022 01,5,12,100%
2022,2022 Qtr 1,2022 02,5,1,100%
