SubmissionDate - Year,YearQtr,YearMonth,Rating,Rating Count,Average of IsPositive
2020,2020 Qtr 4,2020 11,3,1,0%
2020,2020 Qtr 4,2020 11,4,3,100%
2020,2020 Qtr 4,2020 11,5,17,100%
2020,2020 Qtr 4,2020 12,1,2,0%
2020,2020 Qtr 4,2020 12,2,1,0%
2020,2020 Qtr 4,2020 12,4,1,100%
2020,2020 Qtr 4,2020 12,5,31,100%
2021,2021 Qtr 1,2021 01,1,2,0%
2021,2021 Qtr 1,2021 01,4,7,100%
2021,2021 Qtr 1,2021 01,5,37,100%
2021,2021 Qtr 1,2021 02,1,1,0%
2021,2021 Qtr 1,2021 02,4,3,100%
2021,2021 Qtr 1,2021 02,5,20,100%
2021,2021 Qtr 1,2021 03,1,1,0%
2021,2021 Qtr 1,2021 03,4,4,100%
2021,2021 Qtr 1,2021 03,5,25,100%
2021,2021 Qtr 2,2021 04,1,1,0%
2021,2021 Qtr 2,2021 04,3,1,0%
2021,2021 Qtr 2,2021 04,4,5,100%
2021,2021 Qtr 2,2021 04,5,30,100%
2021,2021 Qtr 2,2021 05,4,1,100%
2021,2021 Qtr 2,2021 05,5,18,100%
2021,2021 Qtr 2,2021 06,2,1,0%
2021,2021 Qtr 2,2021 06,4,2,100%
2021,2021 Qtr 2,2021 06,5,18,100%
2021,2021 Qtr 3,2021 07,2,1,0%
2021,2021 Qtr 3,2021 07,4,3,100%
2021,2021 Qtr 3,2021 07,5,11,100%
2021,2021 Qtr 3,2021 08,1,1,0%
2021,2021 Qtr 3,2021 08,4,2,100%
2021,2021 Qtr 3,2021 08,5,15,100%
2021,2021 Qtr 3,2021 09,1,1,0%
2021,2021 Qtr 3,2021 09,4,5,100%
2021,2021 Qtr 3,2021 09,5,36,100%
2021,2021 Qtr 4,2021 10,1,1,0%
2021,2021 Qtr 4,2021 10,4,4,100%
2021,2021 Qtr 4,2021 10,5,61,100%
2021,2021 Qtr 4,2021 11,1,2,0%
2021,2021 Qtr 4,2021 11,4,8,100%
2021,2021 Qtr 4,2021 11,5,46,100%
2021,2021 Qtr 4,2021 12,4,1,100%
2021,2021 Qtr 4,2021 12,5,18,100%
2022,2022 Qtr 1,2022 01,1,1,0%
2022,2022 Qtr 1,2022 01,3,1,0%
2022,2022 Qtr 1,2022 01,4,2,100%
2022,2022 Qtr 1,2022 01,5,38,100%
2022,2022 Qtr 1,2022 02,1,1,0%
2022,2022 Qtr 1,2022 02,4,1,100%
2022,2022 Qtr 1,2022 02,5,16,100%
