SubmissionDate - Year,YearQtr,YearMonth,Rating,Rating Count,Average of IsPositive
2020,2020 Qtr 3,2020 09,1,1,0%
2020,2020 Qtr 3,2020 09,4,1,100%
2020,2020 Qtr 3,2020 09,5,7,100%
2020,2020 Qtr 4,2020 10,2,1,0%
2020,2020 Qtr 4,2020 10,3,1,0%
2020,2020 Qtr 4,2020 10,4,2,100%
2020,2020 Qtr 4,2020 10,5,16,100%
2020,2020 Qtr 4,2020 11,1,8,0%
2020,2020 Qtr 4,2020 11,2,1,0%
2020,2020 Qtr 4,2020 11,3,1,0%
2020,2020 Qtr 4,2020 11,4,5,100%
2020,2020 Qtr 4,2020 11,5,32,100%
2020,2020 Qtr 4,2020 12,1,3,0%
2020,2020 Qtr 4,2020 12,3,2,0%
2020,2020 Qtr 4,2020 12,4,10,100%
2020,2020 Qtr 4,2020 12,5,85,100%
2021,2021 Qtr 1,2021 01,1,1,0%
2021,2021 Qtr 1,2021 01,4,3,100%
2021,2021 Qtr 1,2021 01,5,49,100%
2021,2021 Qtr 1,2021 02,1,1,0%
2021,2021 Qtr 1,2021 02,3,2,0%
2021,2021 Qtr 1,2021 02,4,5,100%
2021,2021 Qtr 1,2021 02,5,27,100%
2021,2021 Qtr 1,2021 03,1,2,0%
2021,2021 Qtr 1,2021 03,3,1,0%
2021,2021 Qtr 1,2021 03,4,6,100%
2021,2021 Qtr 1,2021 03,5,37,100%
2021,2021 Qtr 2,2021 04,1,1,0%
2021,2021 Qtr 2,2021 04,2,1,0%
2021,2021 Qtr 2,2021 04,3,1,0%
2021,2021 Qtr 2,2021 04,4,3,100%
2021,2021 Qtr 2,2021 04,5,34,100%
2021,2021 Qtr 2,2021 05,1,1,0%
2021,2021 Qtr 2,2021 05,3,1,0%
2021,2021 Qtr 2,2021 05,4,1,100%
2021,2021 Qtr 2,2021 05,5,35,100%
2021,2021 Qtr 2,2021 06,1,1,0%
2021,2021 Qtr 2,2021 06,4,1,100%
2021,2021 Qtr 2,2021 06,5,31,100%
2021,2021 Qtr 3,2021 07,1,1,0%
2021,2021 Qtr 3,2021 07,4,4,100%
2021,2021 Qtr 3,2021 07,5,35,100%
2021,2021 Qtr 3,2021 08,1,3,0%
2021,2021 Qtr 3,2021 08,4,4,100%
2021,2021 Qtr 3,2021 08,5,30,100%
2021,2021 Qtr 3,2021 09,1,1,0%
2021,2021 Qtr 3,2021 09,2,1,0%
2021,2021 Qtr 3,2021 09,3,1,0%
2021,2021 Qtr 3,2021 09,5,46,100%
2021,2021 Qtr 4,2021 10,1,2,0%
2021,2021 Qtr 4,2021 10,2,1,0%
2021,2021 Qtr 4,2021 10,4,6,100%
2021,2021 Qtr 4,2021 10,5,90,100%
2021,2021 Qtr 4,2021 11,1,1,0%
2021,2021 Qtr 4,2021 11,4,7,100%
2021,2021 Qtr 4,2021 11,5,70,100%
2021,2021 Qtr 4,2021 12,2,1,0%
2021,2021 Qtr 4,2021 12,3,1,0%
2021,2021 Qtr 4,2021 12,4,4,100%
2021,2021 Qtr 4,2021 12,5,37,100%
2022,2022 Qtr 1,2022 01,2,1,0%
2022,2022 Qtr 1,2022 01,4,4,100%
2022,2022 Qtr 1,2022 01,5,40,100%
2022,2022 Qtr 1,2022 02,3,2,0%
2022,2022 Qtr 1,2022 02,4,2,100%
2022,2022 Qtr 1,2022 02,5,14,100%
